83560,88675,51532
64917,45664,68266
79675,9155,94996
55489,55213,92946
80121,53790,47753
54971,83177,6231
88534,6158,82625
74300,61580,91620
4130,67708,76425
49074,35630,22856
47495,26283,95915
7764,56040,48008
72594,59117,97186
91469,40413,97021
60692,25412,47426
80732,73039,42301
10324,56294,49783
5961,94945,48614
99860,1985,10007
86306,62678,8799
5670,39786,89139
60152,20757,49942
39809,91575,48037
26546,27643,13942
3854,78848,85224
36221,71728,83932
63421,30106,97985
6063,41424,43843
16816,8816,39189
97920,71580,84175
9472,36696,35238
93421,55564,37297
55149,34654,75279
48876,3434,33685
94805,24275,83889
88034,96334,24188
67985,68547,99432
96910,26625,17037
62302,29589,19716
40179,79539,8638
63558,35032,67566
35697,35920,37058
17606,3237,2403
30834,24178,11982
65300,31947,50268
95869,90080,37457
99579,33663,55627
55034,32775,57973
85531,87257,85078
99691,40286,48841
33756,20320,8062
88787,88260,16821
6605,35987,65440
28184,65227,71726
95345,13440,66207
93480,27615,5315
94431,85416,67955
8647,35647,67955
32377,9278,23205
3821,22841,77017
14166,85074,81132
89743,64552,85099
92841,17544,14683
3365,85312,93427
15837,57599,82641
56453,63958,37755
57918,94643,22304
55635,13890,87901
38394,31409,54280
68798,99684,8287
809,83998,43014
85698,7319,67675
84222,92316,9612
86170,72933,67722
85086,99980,93014
96351,32925,23576
18975,2295,96558
68364,32773,7642
53806,91091,92075
21113,85359,65029
90844,24984,83095
59331,44752,85627
80556,82027,78829
21814,28495,82229
62130,22113,18626
49485,76126,32002
94123,13922,79880
7546,11376,75242
38447,7554,15266
45934,61947,23122
10866,22777,94626
2190,4568,28196
37000,48565,14249
30780,53993,67714
23215,42888,49336
4900,59004,47394
86086,11080,93369
58890,27294,65895
82148,24863,14733
49248,36693,6367
10227,49184,55796
96220,89240,16218
57772,75991,3715
66834,65843,34671
56932,22007,91063
65367,51913,62186
70541,78414,63278
36895,95218,66407
25817,84815,61397
88949,48560,75920
9674,11728,26691
58745,50101,99237
93308,88386,84940
75580,95037,80351
22062,99648,88671
15050,60236,55392
97226,41890,29665
4211,72430,61706
89944,43685,34237
14163,46521,37450
76551,52037,13836
36958,79989,37588
67707,82994,77964
64880,25079,18059
10343,64739,20440
39095,30685,31471
14751,91641,28058
69446,44608,33382
84441,66779,61918
48491,23919,87609
13260,59392,62653
35676,94303,83812
39657,83112,89376
10802,80909,9500
66129,97032,14484
38580,57211,5806
36005,51451,86940
56223,3719,55168
23929,13702,85159
80332,88057,18939
55413,8215,60482
18499,65215,1261
31735,63091,18829
46259,39392,80238
72417,59310,52211
96415,37251,39812
31507,83745,34777
67406,67533,81158
46863,83234,43857
96621,61116,83376
16360,31789,63257
28148,16312,93574
43527,62682,54931
17883,87655,80069
46070,42540,23294
93167,95943,31742
6027,21264,75892
89563,4271,26050
83297,60888,86015
32321,64476,24040
12215,53440,74507
39271,98987,72536
55563,53653,53797
46814,46031,37828
7433,44894,76104
69249,24789,63148
45841,94989,61644
15329,23225,33878
53344,45857,92276
80789,43789,77879
